match,market,selection,odds,model_prob,implied_prob,edge,result,pnl,league,tier,date
Union Berlin vs Dortmund,1X2,Home,2.98,0.5913492949372706,0.33557046979865773,0.2557788251386129,W,19.8,Bundesliga,1,2022-10-16
Real Madrid vs Barcelona,O/U,Under 2.5,2.41,0.5051968871436299,0.41493775933609955,0.09025912780753031,L,-10.0,La Liga,1,2022-10-16
Rennes vs Lyon,1X2,Home,2.3,0.6749711049309397,0.4347826086956522,0.24018849623528749,W,12.999999999999998,Ligue 1,1,2022-10-16
Toulouse vs Angers,1X2,Home,1.85,0.5998994389914154,0.5405405405405405,0.05935889845087494,W,8.5,Ligue 1,1,2022-10-16
Celta vs Sociedad,O/U,Over 2.5,2.22,0.520502681181588,0.4504504504504504,0.07005223073113764,W,12.200000000000003,La Liga,1,2022-10-16
Genk vs Westerlo,1X2,Home,1.59,0.7211541203545868,0.6289308176100629,0.09222330274452395,W,5.9,Jupiler Pro League,1,2022-10-18
Getafe vs Ath Bilbao,O/U,Over 2.5,2.34,0.49078644288868256,0.4273504273504274,0.06343601553825517,W,13.399999999999999,La Liga,1,2022-10-18
Wigan vs Middlesbrough,1X2,Home,2.86,0.42983955962089393,0.3496503496503497,0.08018920997054424,L,-10.0,Championship,2,2022-10-19
Millwall vs Watford,1X2,Home,2.52,0.49633873053481736,0.3968253968253968,0.09951333370942056,W,15.2,Championship,2,2022-10-19
Man United vs Tottenham,1X2,Away,2.86,0.509630361416961,0.3496503496503497,0.15998001176661136,L,-10.0,Premier League,1,2022-10-19
Bournemouth vs Southampton,1X2,Home,2.72,0.4814291670962343,0.3676470588235294,0.11378210827270491,L,-10.0,Premier League,1,2022-10-19
Valladolid vs Celta,1X2,Home,2.89,0.46390182101096067,0.3460207612456747,0.11788105976528596,W,18.900000000000002,La Liga,1,2022-10-19
Fulham vs Aston Villa,1X2,Home,2.88,0.5322956043372715,0.3472222222222222,0.1850733821150493,W,18.799999999999997,Premier League,1,2022-10-20
