date,tour,series,surface,round,pick,odds,model_prob,implied_prob,edge,won,pnl
2022-08-29,WTA,Grand Slam,Hard,1st Round,pA,2.3,0.4688446581363678,0.4347826086956522,0.03406204944071556,0,-10.0
2022-08-30,WTA,Grand Slam,Hard,1st Round,pA,2.58,0.47002612948417666,0.38759689922480617,0.08242923025937049,1,15.8
2022-08-30,WTA,Grand Slam,Hard,1st Round,pB,3.42,0.3913272857666016,0.29239766081871343,0.09892962494788815,0,-10.0
2022-08-30,WTA,Grand Slam,Hard,1st Round,pA,1.91,0.6074182391166687,0.5235602094240838,0.08385802969258493,1,9.1
2022-08-30,WTA,Grand Slam,Hard,1st Round,pA,2.63,0.5018552720546723,0.3802281368821293,0.12162713517254298,0,-10.0
2022-08-30,WTA,Grand Slam,Hard,1st Round,pB,1.86,0.7314487963914871,0.5376344086021505,0.19381438778933657,0,-10.0
2022-08-30,WTA,Grand Slam,Hard,1st Round,pA,3.44,0.33552799224853513,0.29069767441860467,0.044830317829930466,0,-10.0
2022-08-30,WTA,Grand Slam,Hard,1st Round,pB,3.01,0.3864123225212097,0.33222591362126247,0.05418640889994725,1,20.099999999999998
2022-08-30,WTA,Grand Slam,Hard,1st Round,pB,1.29,0.8527696907520295,0.7751937984496123,0.07757589230241713,1,2.9000000000000004
2022-08-30,WTA,Grand Slam,Hard,1st Round,pB,2.54,0.4997551620006562,0.39370078740157477,0.1060543745990814,0,-10.0
2022-08-30,WTA,Grand Slam,Hard,1st Round,pB,4.52,0.3698453783988953,0.22123893805309736,0.14860644034579795,0,-10.0
2022-08-30,WTA,Grand Slam,Hard,1st Round,pB,1.82,0.6694537401199341,0.5494505494505494,0.1200031906693847,0,-10.0
2022-08-30,WTA,Grand Slam,Hard,1st Round,pB,4.98,0.30573304891586306,0.2008032128514056,0.10492983606445747,0,-10.0
2022-08-31,WTA,Grand Slam,Hard,1st Round,pA,2.29,0.5228047072887421,0.4366812227074236,0.08612348458131847,1,12.9
2022-08-31,WTA,Grand Slam,Hard,1st Round,pA,2.38,0.45172234773635866,0.42016806722689076,0.0315542805094679,1,13.799999999999999
2022-08-31,WTA,Grand Slam,Hard,2nd Round,pA,1.18,0.9964976906776428,0.8474576271186441,0.14904006355899868,1,1.7999999999999994
2022-08-31,WTA,Grand Slam,Hard,2nd Round,pB,1.31,0.9550582196563482,0.7633587786259541,0.19169944103039405,1,3.1000000000000005
2022-08-31,WTA,Grand Slam,Hard,2nd Round,pA,1.45,0.8271537899971009,0.6896551724137931,0.13749861758330773,1,4.5
2022-08-31,WTA,Grand Slam,Hard,2nd Round,pA,1.59,0.6872581005096435,0.6289308176100629,0.05832728289958067,1,5.9
2022-08-31,WTA,Grand Slam,Hard,2nd Round,pB,1.18,0.9674108061939478,0.8474576271186441,0.11995317907530367,1,1.7999999999999994
2022-08-31,WTA,Grand Slam,Hard,2nd Round,pB,1.1,0.9427287854254246,0.9090909090909091,0.03363787633451554,1,1.0000000000000009
2022-08-31,WTA,Grand Slam,Hard,2nd Round,pB,1.33,0.9119234882295132,0.7518796992481203,0.16004378898139293,1,3.3000000000000007
2022-09-01,WTA,Grand Slam,Hard,2nd Round,pB,1.4,0.9021650739014149,0.7142857142857143,0.18787935961570057,0,-10.0
2022-09-01,WTA,Grand Slam,Hard,2nd Round,pA,2.49,0.6054912209510803,0.4016064257028112,0.20388479524826914,0,-10.0
2022-09-01,WTA,Grand Slam,Hard,2nd Round,pA,1.72,0.6640737295150757,0.5813953488372093,0.08267838067786637,0,-10.0
2022-09-01,WTA,Grand Slam,Hard,2nd Round,pA,1.55,0.76844242811203,0.6451612903225806,0.12328113778944938,0,-10.0
2022-09-01,WTA,Grand Slam,Hard,2nd Round,pB,2.41,0.46742899417877193,0.41493775933609955,0.052491234842672374,0,-10.0
2022-09-01,WTA,Grand Slam,Hard,2nd Round,pA,1.5,0.8148697018623352,0.6666666666666666,0.14820303519566858,1,5.0
2022-09-01,WTA,Grand Slam,Hard,2nd Round,pA,1.46,0.7226168394088746,0.684931506849315,0.037685332559559526,1,4.6
2022-09-01,WTA,Grand Slam,Hard,2nd Round,pB,2.21,0.6079834640026093,0.45248868778280543,0.15549477621980384,1,12.1
2022-09-02,WTA,Grand Slam,Hard,2nd Round,pB,1.58,0.6653389811515809,0.6329113924050632,0.03242758874651763,0,-10.0
2022-09-02,WTA,Grand Slam,Hard,3rd Round,pA,1.6,0.730026388168335,0.625,0.10502638816833498,1,6.000000000000001
2022-09-02,WTA,Grand Slam,Hard,3rd Round,pB,1.66,0.6356045603752136,0.6024096385542169,0.0331949218209967,1,6.6
2022-09-03,WTA,Grand Slam,Hard,3rd Round,pA,2.15,0.7769482612609864,0.46511627906976744,0.31183198219121894,1,11.5
2022-09-03,WTA,Grand Slam,Hard,3rd Round,pB,1.65,0.6498803734779358,0.6060606060606061,0.043819767417329736,1,6.499999999999999
2022-09-03,WTA,Grand Slam,Hard,3rd Round,pB,2.49,0.5990567028522491,0.4016064257028112,0.1974502771494379,0,-10.0
2022-09-04,WTA,Grand Slam,Hard,4th Round,pB,4.23,0.421750795841217,0.23640661938534277,0.18534417645587423,0,-10.0
2022-09-04,WTA,Grand Slam,Hard,4th Round,pB,3.57,0.3634833931922913,0.2801120448179272,0.08337134837436411,0,-10.0
2022-09-05,WTA,Grand Slam,Hard,4th Round,pB,3.07,0.4695968985557556,0.32573289902280134,0.14386399953295426,1,20.7
2022-09-05,WTA,Grand Slam,Hard,4th Round,pA,1.82,0.6512049198150635,0.5494505494505494,0.10175437036451407,1,8.200000000000001
2022-09-05,WTA,Grand Slam,Hard,4th Round,pA,1.82,0.5988742589950562,0.5494505494505494,0.04942370954450681,1,8.200000000000001
2022-09-05,WTA,Grand Slam,Hard,4th Round,pB,1.16,0.9040106274187565,0.8620689655172414,0.04194166190151505,1,1.5999999999999992
2022-09-06,WTA,Grand Slam,Hard,4th Round,pB,1.85,0.6356045603752136,0.5405405405405405,0.09506401983467316,1,8.5
2022-09-06,WTA,Grand Slam,Hard,Quarterfinals,pB,1.45,0.7809673964977264,0.6896551724137931,0.09131222408393325,1,4.5
2022-09-07,WTA,Grand Slam,Hard,Quarterfinals,pA,1.95,0.560437273979187,0.5128205128205129,0.04761676115867408,0,-10.0
2022-09-07,WTA,Grand Slam,Hard,Quarterfinals,pB,1.78,0.6628519833087921,0.5617977528089888,0.10105423049980333,1,7.800000000000001
2022-09-08,WTA,Grand Slam,Hard,Quarterfinals,pA,1.55,0.7431294202804566,0.6451612903225806,0.09796812995787596,1,5.5
2022-09-09,WTA,Grand Slam,Hard,Semifinals,pA,2.26,0.6512049198150635,0.4424778761061947,0.20872704370886874,1,12.599999999999998
2022-09-09,WTA,Grand Slam,Hard,Semifinals,pA,1.49,0.7184108257293701,0.6711409395973155,0.04726988613205463,1,4.9
2022-09-10,WTA,Grand Slam,Hard,The Final,pA,1.54,0.7184108257293701,0.6493506493506493,0.06906017637872075,1,5.4
2022-09-12,WTA,WTA250,Hard,1st Round,pA,2.24,0.9881631731987,0.4464285714285714,0.5417346017701286,1,12.400000000000002
2022-09-12,WTA,WTA250,Hard,1st Round,pB,1.94,0.7450014770030975,0.5154639175257733,0.22953755947732424,0,-10.0
2022-09-12,WTA,WTA250,Hard,1st Round,pA,2.63,0.47764527797698975,0.3802281368821293,0.09741714109486044,0,-10.0
2022-09-12,WTA,WTA250,Hard,1st Round,pB,1.46,0.9965773784322665,0.684931506849315,0.31164587158295143,1,4.6
2022-09-12,WTA,WTA250,Hard,1st Round,pB,1.12,0.9906794086098671,0.8928571428571428,0.09782226575272435,1,1.200000000000001
2022-09-12,WTA,WTA250,Hard,1st Round,pA,4.4,0.9618666172027588,0.22727272727272727,0.7345938899300315,1,34.0
