match,market,sel,odds,mp,ip,edge,W,pnl,league,tier,date
Cheltenham vs Peterboro,O/U,Under 2.5,2.31,0.495704129311634,0.4329004329004329,0.0628036964112011,True,13.100000000000001,League One,3,2024-04-23
Auxerre vs Laval,O/U,Under 2.5,2.06,0.5671962321002426,0.4854368932038835,0.08175933889635911,False,-10.0,Ligue 2,2,2024-04-23
AEK vs Panathinaikos,O/U,Over 2.5,1.91,0.6412344381975561,0.5235602094240838,0.11767422877347233,True,9.1,Super League,1,2024-04-24
AEK vs Panathinaikos,1X2,Home,1.89,0.5907666635645408,0.5291005291005292,0.06166613446401159,True,8.899999999999999,Super League,1,2024-04-24
Frosinone vs Salernitana,O/U,Under 2.5,2.4,0.496702587843023,0.4166666666666667,0.08003592117635633,False,-10.0,Serie A,1,2024-04-26
QPR vs Leeds,O/U,Under 2.5,2.19,0.5250764211085608,0.4566210045662101,0.06845541654235071,False,-10.0,Championship,2,2024-04-26
St Pauli vs Hansa Rostock,O/U,Under 2.5,2.31,0.4929738342555121,0.4329004329004329,0.060073401355079215,True,13.100000000000001,2. Bundesliga,2,2024-04-26
Sociedad vs Real Madrid,O/U,Over 2.5,2.23,0.5447171783954857,0.4484304932735426,0.0962866851219431,False,-10.0,La Liga,1,2024-04-26
Sociedad vs Real Madrid,1X2,Away,3.03,0.4353961495988564,0.33003300330033003,0.10536314629852639,True,20.299999999999997,La Liga,1,2024-04-26
Port Vale vs Cambridge,1X2,Home,2.44,0.5135749210305413,0.4098360655737705,0.10373885545677075,False,-10.0,League One,3,2024-04-27
Reading vs Blackpool,O/U,Under 2.5,2.07,0.551572691761326,0.48309178743961356,0.06848090432171239,False,-10.0,League One,3,2024-04-27
Stevenage vs Cheltenham,1X2,Home,2.61,0.496377419538249,0.3831417624521073,0.1132356570861417,True,16.099999999999998,League One,3,2024-04-27
Wycombe vs Charlton,O/U,Under 2.5,2.01,0.5502251307008983,0.49751243781094534,0.05271269288995295,True,10.099999999999998,League One,3,2024-04-27
Fleetwood Town vs Burton,1X2,Home,2.9,0.49456980673472145,0.3448275862068966,0.14974222052782488,True,19.0,League One,3,2024-04-27
Derby vs Carlisle,O/U,Under 2.5,2.35,0.49749809904580045,0.425531914893617,0.07196618415218342,True,13.5,League One,3,2024-04-27
Barnsley vs Northampton,O/U,Under 2.5,2.46,0.5051750059729723,0.4065040650406504,0.09867094093232187,True,14.6,League One,3,2024-04-27
Pau FC vs Guingamp,1X2,Home,3.04,0.4480181072005851,0.32894736842105265,0.11907073877953245,False,-10.0,Ligue 2,2,2024-04-27
Sheffield Weds vs West Brom,1X2,Home,2.93,0.4395723280711664,0.341296928327645,0.0982753997435214,True,19.3,Championship,2,2024-04-27
Norwich vs Swansea,O/U,Under 2.5,2.21,0.539079747167174,0.45248868778280543,0.08659105938436856,False,-10.0,Championship,2,2024-04-27
Blackburn vs Coventry,O/U,Under 2.5,2.26,0.5552949592729806,0.4424778761061947,0.11281708316678585,True,12.599999999999998,Championship,2,2024-04-27
Leverkusen vs Stuttgart,1X2,Home,1.75,0.7115906073054135,0.5714285714285714,0.14016203587684206,False,-10.0,Bundesliga,1,2024-04-27
Forest Green vs Notts County,O/U,Under 2.5,2.55,0.5398716366485966,0.3921568627450981,0.14771477390349852,True,15.499999999999998,League Two,4,2024-04-27
Swindon vs Morecambe,O/U,Under 2.5,2.55,0.48466495626807804,0.3921568627450981,0.09250809352297995,False,-10.0,League Two,4,2024-04-27
Colchester vs Crewe,1X2,Home,2.65,0.49601622877962126,0.37735849056603776,0.1186577382135835,False,-10.0,League Two,4,2024-04-27
Lecce vs Monza,O/U,Over 2.5,2.22,0.5126720781173348,0.4504504504504504,0.06222162766688444,False,-10.0,Serie A,1,2024-04-27
Annecy vs Bastia,1X2,Home,1.88,0.5820012396671232,0.5319148936170213,0.05008634605010198,True,8.799999999999999,Ligue 2,2,2024-04-27
Juventus vs Milan,1X2,Away,3.65,0.4138331863154984,0.273972602739726,0.1398605835757724,False,-10.0,Serie A,1,2024-04-27
AFC Wimbledon vs Walsall,O/U,Under 2.5,2.11,0.5510391503741789,0.47393364928909953,0.07710550108507941,False,-10.0,League Two,4,2024-04-27
Volos NFC vs Panserraikos,O/U,Under 2.5,2.24,0.5553458226009376,0.4464285714285714,0.10891725117236617,True,12.400000000000002,Super League,1,2024-04-27
Augsburg vs Werder Bremen,1X2,Home,1.81,0.6488051154149213,0.5524861878453039,0.09631892756961735,False,-10.0,Bundesliga,1,2024-04-27
Kasimpasa vs Samsunspor,O/U,Under 2.5,2.2,0.5475001543194854,0.45454545454545453,0.09295469977403087,True,12.000000000000002,Super Lig,1,2024-04-27
Braunschweig vs Hamburg,O/U,Under 2.5,2.28,0.49803938689152527,0.4385964912280702,0.059442895663455064,False,-10.0,2. Bundesliga,2,2024-04-27
Schalke 04 vs Fortuna Dusseldorf,O/U,Under 2.5,2.43,0.5096770644251607,0.4115226337448559,0.09815443068030477,True,14.3,2. Bundesliga,2,2024-04-27
