cb_league_id,cb_name_en,cb_name_et,cb_country_slug,cb_full_slug,cb_country_canonical,af_db_league_id,af_name,af_country,af_matches_30d,af_bets_30d,match_score,confidence,review_note,country_restricted,debug
20324,Kolmonen Länsi C,Kolmonen Länsi C,finland,football/finland/kolmonen-lansi-c,Finland,f6f8fa53-0026-4cb9-99df-174aaf01c322,Kakkonen - Lohko C,Finland,16,1,0.562,medium,AF has no 3rd-tier Finnish league; mapped to closest Kakkonen,yes,sim=0.56 tok=0.33 contain=0.00
46629,Nelonen Etelä 1,Nelonen Etelä 1,finland,football/finland/nelonen-etela-1,Finland,504094f7-4be0-4d32-88bd-1e9e6c5717c9,Kansallinen Liiga,Finland,13,0,0.500,low,AF has no 4th-tier Finnish league (Nelonen); best-guess match,yes,sim=0.50 tok=0.00 contain=0.00
19886,Women NM Cupen,NM Cupen - Naised,norway,football/norway/women-nm-cupen,Norway,195eca3c-9714-492e-aed0-bf2c078d1791,NM Cupen,Norway,1,0,1.000,high,,yes,manual override
46619,Nelonen Etelä 2,Nelonen Etelä 2,finland,football/finland/nelonen-etela-2,Finland,504094f7-4be0-4d32-88bd-1e9e6c5717c9,Kansallinen Liiga,Finland,13,0,0.500,low,AF has no 4th-tier Finnish league (Nelonen); best-guess match,yes,sim=0.50 tok=0.00 contain=0.00
46618,Nelonen Etelä 3,Nelonen Etelä 3,finland,football/finland/nelonen-etela-3,Finland,504094f7-4be0-4d32-88bd-1e9e6c5717c9,Kansallinen Liiga,Finland,13,0,0.500,low,AF has no 4th-tier Finnish league (Nelonen); best-guess match,yes,sim=0.50 tok=0.00 contain=0.00
46630,Nelonen Etelä 4,Nelonen Etelä 4,finland,football/finland/nelonen-uusimaa-4,Finland,504094f7-4be0-4d32-88bd-1e9e6c5717c9,Kansallinen Liiga,Finland,13,0,0.500,low,AF has no 4th-tier Finnish league (Nelonen); best-guess match,yes,sim=0.50 tok=0.00 contain=0.00
46620,Nelonen Itä A,Nelonen Itä A,finland,football/finland/nelonen-ita-a,Finland,504094f7-4be0-4d32-88bd-1e9e6c5717c9,Kansallinen Liiga,Finland,13,0,0.533,low,AF has no 4th-tier Finnish league (Nelonen); best-guess match,yes,sim=0.53 tok=0.00 contain=0.00
46621,Nelonen Itä B,Nelonen Itä B,finland,football/finland/nelonen-ita-b,Finland,504094f7-4be0-4d32-88bd-1e9e6c5717c9,Kansallinen Liiga,Finland,13,0,0.533,low,AF has no 4th-tier Finnish league (Nelonen); best-guess match,yes,sim=0.53 tok=0.00 contain=0.00
46623,Nelonen Itä C,Nelonen Itä C,finland,football/finland/nelonen-ita-c,Finland,504094f7-4be0-4d32-88bd-1e9e6c5717c9,Kansallinen Liiga,Finland,13,0,0.533,low,AF has no 4th-tier Finnish league (Nelonen); best-guess match,yes,sim=0.53 tok=0.00 contain=0.00
46628,Nelonen Länsi B,Nelonen Länsi B,finland,football/finland/nelonen-lansi-b,Finland,2c06986e-42a0-43bf-9afd-46dda25969a5,Kakkonen - Lohko B,Finland,15,3,0.516,low,AF has no 4th-tier Finnish league (Nelonen); best-guess match,yes,sim=0.52 tok=0.33 contain=0.00
46631,Nelonen Länsi C1,Nelonen Länsi C1,finland,football/finland/nelonen-lansi-c1,Finland,f6f8fa53-0026-4cb9-99df-174aaf01c322,Kakkonen - Lohko C,Finland,16,1,0.500,low,AF has no 4th-tier Finnish league (Nelonen); best-guess match,yes,sim=0.50 tok=0.00 contain=0.00
46622,Nelonen Länsi C2,Nelonen Länsi C2,finland,football/finland/nelonen-lansi-c2,Finland,f6f8fa53-0026-4cb9-99df-174aaf01c322,Kakkonen - Lohko C,Finland,16,1,0.500,low,AF has no 4th-tier Finnish league (Nelonen); best-guess match,yes,sim=0.50 tok=0.00 contain=0.00
46717,Lower Leagues,Lower Leagues (Norway),norway,football/norway/lower-leagues,Norway,55dbe9c9-2e4e-4b49-bb59-20178db56af1,2. Division - Group 1,Norway,21,2,1.000,high,Norway 'Lower Leagues' is generic; mapped to 2. Division Group 1 as best lower-tier,yes,manual override
19316,Coupe de France,Coupe de France,france,football/france/coupe-de-france,France,fe74882f-c4c2-4177-b347-63f1d8550633,National 2 - Group C,France,24,4,0.303,low,AF has no Coupe de France row; consider leaving unmapped,yes,sim=0.30 tok=0.00 contain=0.00
43120,France Ligue 1 Promotion/Relegation,France Ligue 1 Promotion/Relegation,france,football/france/france-ligue-1-promotionrelegation,France,01c7bf8f-bcd8-4342-81bd-939c33780d7b,Ligue 1,France,41,30,0.550,medium,,yes,sim=0.33 tok=0.40 contain=0.15
25158,Italy Lega Pro Prima Divisione Promotion Playoff,Italy Lega Pro Prima Divisione Promotion Playoff,italy,football/italy/italy-lega-pro-prima-divisione-promotion-playoff,Italy,ed3030bd-40e9-4562-975e-b640bae83e54,Serie C - Promotion - Play-offs,Italy,33,1,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
71763,Japan J. League Special Tournament,Japan J. League Special Tournament,japan,football/japan/Japan-J.-League-Special-Tournament,Japan,3022f063-b707-4725-8a34-2e90b1f8b361,J2/J3 League,Japan,101,9,0.444,low,AF has no J. League Special Tournament; mapped to J2/J3 as best Japan match,yes,sim=0.44 tok=0.20 contain=0.00
64996,CONCACAF W Champions Cup Women,CONCACAF W Champions Cup Women,americas,football/americas/CONCACAF-W-Champions-Cup-Women,World,15e39393-fa9e-470f-8fba-a7dfcdbc8a3a,CONCACAF W Champions Cup,World,2,0,1.000,high,,yes,manual override
19951,National Women's Soccer League,National Soccer League - Naised,usa,football/usa/national-womens-soccer-league,USA,12cb7d9d-8a2a-4aa0-89ab-2a97f44fbc04,NWSL Women,USA,33,3,1.000,high,,yes,manual override
25255,Lamar Hunt U.S. Open Cup,Lamar Hunt U.S. Open Cup,usa,football/usa/lamar-hunt-us-open-cup,USA,6f74e12b-57a9-4139-bc22-d0ccaa483186,US Open Cup,USA,12,0,1.000,high,,yes,manual override
28854,Georgian Pirveli Liga,Georgian Pirveli Liga,georgia,football/georgia/georgian-pirveli-liga,Georgia,f65054eb-4f55-43f7-957d-0b04da0bf2e0,Erovnuli Liga 2,Georgia,25,1,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
20146,Club Friendlies,,international,football/international/club-friendlies,World,99aa3400-ee95-43c0-afde-089dca041978,Friendlies,World,11,1,1.000,high,,yes,manual override
60115,Portugal Primeira Liga Promotion/Relegation,Portugal Primeira Liga Promotion/Relegation,portugal,football/portugal/Portugal-Primeira-Liga-PromotionRelegation,Portugal,eb39f011-6493-4e06-8c50-56034e1a3e37,Primeira Liga,Portugal,40,24,0.614,medium,,yes,sim=0.46 tok=0.40 contain=0.15
19968,Liga de Ascenso,Liga de Ascenso,chile,football/chile/Liga-de-Ascenso,Chile,3a3e9586-7526-4721-85cd-2b7db394bbb7,Primera B,Chile,27,3,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
18965,Liga de Primera,Liga de Primera (Chile),chile,football/chile/Liga-de-Primera,Chile,940727f2-283f-4a38-b22f-48917c27e5ba,Primera División,Chile,9,1,1.000,high,,yes,manual override
20494,Cup,Cup (Ukraine),ukraine,football/ukraine/Cup,Ukraine,06c17889-a96e-4f4d-b908-cedbac492472,Cup,Ukraine,1,0,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
25291,Tanzania Premier League,Tanzania Premier League,tanzania,football/tanzania/tanzania-premier-league,Tanzania,c6d890f5-7e95-4cb3-b764-4825659c31ee,Ligi kuu Bara,Tanzania,38,1,0.148,low,Ligi kuu Bara IS the Tanzanian Premier League (low score is language mismatch),yes,sim=0.15 tok=0.00 contain=0.00
19955,Philippines UFL Division 1,Philippines UFL Division 1,philippines,football/philippines/philippines-ufl-division-1,Philippines,78f24825-89c4-47a7-9e00-f8b99049ae9b,PFL,Philippines,17,0,0.235,low,PFL IS the Philippine Football League (low score is naming mismatch),yes,sim=0.24 tok=0.00 contain=0.00
29399,Indian Super League,Indian Super League,india,football/india/hero-indian-super-league,India,8df05921-36b8-4471-aca0-f32bfbc64d0a,Indian Super League,India,24,4,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
18943,Premier League,Premier League (Egypt),egypt,football/egypt/premier-league,Egypt,f7fee3ac-88bc-4d69-a151-41b0f8b4d2d9,Premier League,Egypt,48,14,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
42497,Tunisia Cup,Tunisia Cup,tunisia,football/tunisia/tunisia-cup,Tunisia,78d119a8-e738-474b-ba77-a41280574d7f,Cup,Tunisia,5,0,0.650,medium,,yes,sim=0.43 tok=0.50 contain=0.15
52550,Bhutan Premier League,Bhutan Premier League,bhutan,football/bhutan/bhutan-premier-league,Bhutan,01bf4348-a13c-4393-a1ee-93352b3dcff8,Premier League,Bhutan,14,0,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
19385,Red Stripe Premier League,Red Stripe Premier League,jamaica,football/jamaica/red-stripe-premier-league,Jamaica,e7486bcf-f275-443d-80ca-a060d77492a7,Premier League,Jamaica,25,0,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
19997,Eerste Divisie Playoff,Eerste Divisie Playoff,netherlands,football/netherlands/Eerste-Divisie-playoff,Netherlands,f8f311bf-6afc-446a-842c-38a3e6ead10e,Eerste Divisie,Netherlands,15,6,1.000,high,,yes,manual override
20033,Primera B,Primera B (Ecuador),ecuador,football/ecuador/ecuador-primera-b,Ecuador,ad269eb4-70dc-49d4-bbf7-9805e643ac9d,Liga Pro Serie B,Ecuador,26,5,1.000,high,,yes,manual override
51290,Ecuador Cup,Ecuador Cup,ecuador,football/ecuador/ecuador-cup,Ecuador,61c44e76-e472-4fd5-9f80-847e47c54916,Copa Ecuador,Ecuador,16,2,1.000,high,,yes,manual override
20406,Paraguay Segunda Division,Paraguay Segunda Division,paraguay,football/paraguay/paraguay-segunda-division,Paraguay,b5468903-3cf8-44a6-a2f1-a2f82be26630,Division Intermedia,Paraguay,34,8,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
48624,Argentina National B Division Reserves,Argentina National B Division Reserves,argentina,football/argentina/argentina-national-b-division-reserves,Argentina,499938fc-34ee-4230-b3df-093b6ea7e789,Primera Nacional,Argentina,55,2,0.941,high,,yes,sim=0.94 tok=0.67 contain=0.00
19094,USL Pro,USL Pro,usa,football/usa/usl-pro,USA,85666955-2586-4073-86d5-9dd34d760f98,USL Championship,USA,26,0,1.000,high,,yes,manual override
19838,Torneo de Reserva Primera B,Torneo de Reserva Primera B,argentina,football/argentina/argentina-torneo-de-reserva-primera-b,Argentina,a1e97c06-e5e3-4982-932f-163a1c340f43,Reserve League,Argentina,70,2,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
50813,US USL League One,US USL League One,usa,football/usa/us-usl-league-one,USA,de9dc4ac-34e2-4dd4-872e-3fefead007ef,USL League One,USA,24,0,1.000,high,,yes,manual override
18860,Bundesliga,Bundesliga (Austria),austria,football/austria/bundesliga,Austria,87c6bd66-a245-4317-9e02-2f0736b99592,Bundesliga,Austria,31,12,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
