source,kickoff_date,league,home_team,away_team,market,pick,odds,result,pnl_per_unit,ref_url
deepbetting,2026-05-24,Serie A,,,1x2,,1.500,won,0.5000,https://deepbetting.io/dashboard/
deepbetting,2026-05-24,Serie A,,,1x2,,1.280,won,0.2800,https://deepbetting.io/dashboard/
deepbetting,2026-05-24,Eredivisie,,,over_under_25,,1.600,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-24,Brasileirão Série A,,,over_under_25,,1.530,won,0.5300,https://deepbetting.io/dashboard/
deepbetting,2026-05-24,Brasileirão Série A,,,1x2,,1.330,won,0.3300,https://deepbetting.io/dashboard/
deepbetting,2026-05-24,Brasileirão Série A,,,1x2,,2.000,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-24,Allsvenskan,,,1x2,,1.420,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-24,Allsvenskan,,,over_under_25,,1.670,won,0.6700,https://deepbetting.io/dashboard/
deepbetting,2026-05-24,Eliteserien,,,1x2,,1.300,won,0.3000,https://deepbetting.io/dashboard/
deepbetting,2026-05-25,Allsvenskan,,,over_under_25,,1.800,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-25,Eliteserien,,,over_under_25,,1.700,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-25,Eliteserien,,,1x2,,1.900,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-25,Eliteserien,,,over_under_25,,1.570,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-29,Ligue 1,,,over_under_25,,1.620,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-29,Allsvenskan,,,1x2,,1.910,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-29,Eliteserien,,,over_under_25,,1.650,won,0.6500,https://deepbetting.io/dashboard/
deepbetting,2026-05-29,Eliteserien,,,1x2,,1.570,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-30,Brasileirão Série A,,,1x2,,1.800,won,0.8000,https://deepbetting.io/dashboard/
deepbetting,2026-05-30,Brasileirão Série A,,,over_under_25,,1.700,won,0.7000,https://deepbetting.io/dashboard/
deepbetting,2026-05-30,Brasileirão Série A,,,1x2,,1.420,won,0.4200,https://deepbetting.io/dashboard/
deepbetting,2026-05-30,Brasileirão Série A,,,over_under_25,,1.570,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-30,Eliteserien,,,1x2,,1.600,won,0.6000,https://deepbetting.io/dashboard/
deepbetting,2026-05-31,Brasileirão Série A,,,over_under_25,,1.280,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-31,Brasileirão Série A,,,1x2,,2.000,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-31,Brasileirão Série A,,,1x2,,1.270,won,0.2700,https://deepbetting.io/dashboard/
deepbetting,2026-05-31,Allsvenskan,,,over_under_25,,2.000,won,1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-06-01,Friendlies,,,1x2,,1.120,won,0.1200,https://deepbetting.io/dashboard/
deepbetting,2026-06-01,Friendlies,,,over_under_25,,1.610,won,0.6100,https://deepbetting.io/dashboard/
deepbetting,2026-06-01,Friendlies,,,1x2,,1.200,won,0.2000,https://deepbetting.io/dashboard/
deepbetting,2026-06-02,Friendlies,,,over_under_25,,1.750,won,0.7500,https://deepbetting.io/dashboard/
deepbetting,2026-06-02,Friendlies,,,over_under_25,,1.500,won,0.5000,https://deepbetting.io/dashboard/
deepbetting,2026-06-03,Friendlies,,,1x2,,1.500,won,0.5000,https://deepbetting.io/dashboard/
deepbetting,2026-06-03,Friendlies,,,1x2,,1.550,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-06-03,Friendlies,,,over_under_25,,1.280,won,0.2800,https://deepbetting.io/dashboard/
deepbetting,2026-06-04,Friendlies,,,over_under_25,,1.530,won,0.5300,https://deepbetting.io/dashboard/
deepbetting,2026-06-04,Friendlies,,,1x2,,1.360,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-06-04,Friendlies,,,over_under_25,,1.440,won,0.4400,https://deepbetting.io/dashboard/
deepbetting,2026-06-04,Friendlies,,,1x2,,1.140,won,0.1400,https://deepbetting.io/dashboard/
deepbetting,2026-06-05,Friendlies,,,over_under_25,,1.730,won,0.7300,https://deepbetting.io/dashboard/
deepbetting,2026-06-05,Friendlies,,,1x2,,2.000,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-06-05,Friendlies,,,1x2,,1.620,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-06-05,Friendlies,,,over_under_25,,1.650,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-06-05,Friendlies,,,1x2,,1.700,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-06-05,Friendlies,,,1x2,,1.530,won,0.5300,https://deepbetting.io/dashboard/
deepbetting,2026-06-05,Friendlies,,,1x2,,1.670,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-06-05,Friendlies,,,1x2,,2.250,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-06-06,Friendlies,,,1x2,,1.600,won,0.6000,https://deepbetting.io/dashboard/
deepbetting,2026-06-06,Friendlies,,,over_under_25,,1.530,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-06-06,Friendlies,,,1x2,,1.180,won,0.1800,https://deepbetting.io/dashboard/
deepbetting,2026-06-06,Friendlies,,,over_under_25,,1.650,won,0.6500,https://deepbetting.io/dashboard/
deepbetting,2026-06-06,Friendlies,,,1x2,,1.420,won,0.4200,https://deepbetting.io/dashboard/
deepbetting,2026-06-06,Friendlies,,,over_under_25,,1.730,won,0.7300,https://deepbetting.io/dashboard/
deepbetting,2026-06-06,Friendlies,,,1x2,,1.560,won,0.5600,https://deepbetting.io/dashboard/
deepbetting,2026-06-07,Friendlies,,,1x2,,1.330,won,0.3300,https://deepbetting.io/dashboard/
deepbetting,2026-06-07,Friendlies,,,over_under_25,,1.950,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-06-07,Friendlies,,,1x2,,1.170,won,0.1700,https://deepbetting.io/dashboard/
