source,kickoff_date,league,home_team,away_team,market,pick,odds,result,pnl_per_unit,ref_url
winnerodds,2026-06-23,Australia,,,over_under_35,o3.5,1.325,won,0.3250,https://winnerodds.com
winnerodds,2026-06-26,Japan,,,asian_handicap,ah-0_2,2.083,void,0.0000,https://winnerodds.com
winnerodds,2026-06-24,Australia,,,asian_handicap,ah-0_2,2.140,won,1.1400,https://winnerodds.com
winnerodds,2026-06-23,Canada,,,asian_handicap,ah-0_1,1.600,won,0.6000,https://winnerodds.com
winnerodds,2026-06-25,Northern Ireland,,,asian_handicap,ah+0.5_2,1.240,won,0.2400,https://winnerodds.com
winnerodds,2026-06-25,Northern Ireland,,,asian_handicap,ah-0_2,11.000,won,10.0000,https://winnerodds.com
winnerodds,2026-06-26,Argentina,,,asian_handicap,ah-0_2,1.455,void,0.0000,https://winnerodds.com
winnerodds,2026-06-24,Argentina,,,1x2,2,1.730,won,0.7300,https://winnerodds.com
winnerodds,2026-06-21,Sweden,,,over_under_35,o3.5,2.250,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-23,Latvia,,,asian_handicap,ah-0_2,1.220,won,0.2200,https://winnerodds.com
winnerodds,2026-06-23,Australia,,,asian_handicap,ah-0_2,1.727,won,0.7270,https://winnerodds.com
winnerodds,2026-06-24,Australia,,,asian_handicap,ah-0_2,1.380,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-24,Sweden,,,1x2,2,1.310,won,0.3100,https://winnerodds.com
winnerodds,2026-06-25,Sweden,,,asian_handicap,ah-0_2,2.410,void,0.0000,https://winnerodds.com
winnerodds,2026-06-24,Sweden,,,over_under_35,o3.5,2.100,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-24,Norway,,,over_under_35,o3.5,1.750,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-22,Sweden,,,1x2,2,1.430,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-22,Latvia,,,asian_handicap,ah-0_2,1.130,void,0.0000,https://winnerodds.com
winnerodds,2026-06-24,Mozambique,,,asian_handicap,ah-0_1,1.660,void,0.0000,https://winnerodds.com
winnerodds,2026-06-23,USA,,,over_under_35,o3.5,2.036,won,1.0360,https://winnerodds.com
winnerodds,2026-06-23,USA,,,1x2,2,2.087,won,1.0870,https://winnerodds.com
winnerodds,2026-06-23,USA,,,over_under_35,o3.5,1.600,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-23,USA,,,1x2,2,1.310,won,0.3100,https://winnerodds.com
winnerodds,2026-06-23,USA,,,over_under_35,o3.5,1.710,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-24,USA,,,asian_handicap,ah-0_2,1.166,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-21,USA,,,asian_handicap,ah+0.5_1,1.140,won,0.1400,https://winnerodds.com
winnerodds,2026-06-23,Sweden,,,asian_handicap,ah-0_2,4.020,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-21,Sweden,,,asian_handicap,ah-0_2,2.130,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-19,Sweden,,,asian_handicap,ah-0.5_2,1.680,won,0.6800,https://winnerodds.com
